CMDLINE /usr/bin/python3 hierarchical_EM.py configs/em/config1cl.json
MEM 0.671875 1652117772.6332
MEM 126.179688 1652117773.6627
MEM 1100.734375 1652117774.6953
CMDLINE /usr/bin/python3 hierarchical_EM.py configs/em/config1cl.json
MEM 0.785156 1652117863.0063
MEM 125.511719 1652117864.0398
MEM 1104.121094 1652117865.0704
MEM 1112.316406 1652117866.1028
MEM 1112.316406 1652117867.1339
MEM 1159.867188 1652117868.1647
MEM 1324.378906 1652117869.1957
MEM 1555.828125 1652117870.2246
MEM 1162.152344 1652117871.2485
MEM 1162.183594 1652117872.2782
MEM 1162.375000 1652117873.3018
MEM 1162.894531 1652117874.3237
MEM 4366.832031 1652117875.3557
CMDLINE /usr/bin/python3 hierarchical_EM.py configs/em/config1cl.json
MEM 0.667969 1652117972.2021
MEM 23.269531 1652117972.3329
MEM 38.105469 1652117972.4655
MEM 54.703125 1652117972.5918
MEM 78.453125 1652117972.7122
MEM 92.691406 1652117972.8359
MEM 101.441406 1652117972.9662
MEM 124.066406 1652117973.0957
MEM 128.023438 1652117973.2236
MEM 241.132812 1652117973.3517
MEM 800.445312 1652117973.4817
MEM 974.582031 1652117973.6120
MEM 1003.250000 1652117973.7432
MEM 1068.128906 1652117973.8745
MEM 1083.246094 1652117974.0064
MEM 1100.355469 1652117974.1386
MEM 1108.238281 1652117974.2695
MEM 1111.585938 1652117974.4004
MEM 1111.585938 1652117974.5310
MEM 1111.585938 1652117974.6611
MEM 1111.804688 1652117974.7922
MEM 1111.804688 1652117974.9227
MEM 1111.964844 1652117975.0537
MEM 1111.964844 1652117975.1842
MEM 1111.964844 1652117975.3150
MEM 1111.964844 1652117975.4462
MEM 1111.964844 1652117975.5766
MEM 1111.964844 1652117975.7076
MEM 1111.964844 1652117975.8328
MEM 1111.964844 1652117975.9608
MEM 1111.964844 1652117976.0909
MEM 1111.964844 1652117976.2214
MEM 1111.964844 1652117976.3523
MEM 1111.964844 1652117976.4831
MEM 1111.964844 1652117976.6131
MEM 1118.460938 1652117976.7439
MEM 1126.542969 1652117976.8741
MEM 1135.269531 1652117977.0018
MEM 1143.476562 1652117977.1313
MEM 1151.839844 1652117977.2611
MEM 1160.433594 1652117977.3914
MEM 1168.972656 1652117977.5225
MEM 1140.433594 1652117977.6826
MEM 1140.558594 1652117977.8045
MEM 1154.230469 1652117977.9302
MEM 1199.714844 1652117978.0604
MEM 1155.773438 1652117978.1827
MEM 1155.843750 1652117978.3079
MEM 1376.347656 1652117978.4331
MEM 1218.273438 1652117978.5556
MEM 1155.843750 1652117978.6778
MEM 1155.843750 1652117978.7999
MEM 1376.347656 1652117978.9251
MEM 1155.871094 1652117979.0468
MEM 1231.730469 1652117979.1782
MEM 1559.464844 1652117979.3013
MEM 1229.796875 1652117979.4237
MEM 1555.796875 1652117979.5616
MEM 1187.914062 1652117979.6840
MEM 1562.035156 1652117979.8319
MEM 1181.910156 1652117979.9542
MEM 1562.035156 1652117980.0905
MEM 1169.914062 1652117980.2127
MEM 1546.035156 1652117980.3792
MEM 1314.035156 1652117980.4930
MEM 1162.117188 1652117980.6168
MEM 1162.144531 1652117980.7313
MEM 1382.648438 1652117980.8768
MEM 1312.648438 1652117980.9949
MEM 1186.445312 1652117981.1168
MEM 1162.144531 1652117981.2608
MEM 1162.144531 1652117981.3840
MEM 1382.648438 1652117981.5068
MEM 1308.648438 1652117981.6265
MEM 1162.171875 1652117981.7800
MEM 1334.675781 1652117981.9143
MEM 1278.675781 1652117982.0347
MEM 1164.539062 1652117982.1849
MEM 1162.171875 1652117982.3058
MEM 1162.171875 1652117982.4266
MEM 1382.675781 1652117982.5795
MEM 1382.675781 1652117982.7039
MEM 1162.453125 1652117982.8229
MEM 1345.121094 1652117982.9768
MEM 1249.121094 1652117983.1037
MEM 1169.121094 1652117983.2247
MEM 1162.617188 1652117983.3624
MEM 1162.617188 1652117983.4957
MEM 1383.121094 1652117983.6230
MEM 1305.121094 1652117983.7431
MEM 1162.832031 1652117983.8843
MEM 1317.574219 1652117984.0034
MEM 1219.574219 1652117984.1306
MEM 1163.070312 1652117984.2515
MEM 1163.074219 1652117984.3818
MEM 1213.578125 1652117984.5007
MEM 1163.074219 1652117984.6217
MEM 1383.578125 1652117984.7469
MEM 1335.578125 1652117984.8664
MEM 4367.414062 1652117984.9962
MEM 4371.980469 1652117985.1260
MEM 1169.957031 1652117985.2559
MEM 1170.109375 1652117985.3856
MEM 1169.093750 1652117985.5167
MEM 0.000000 1652117985.6471
CMDLINE /usr/bin/python3 hierarchical_EM.py configs/em/config1cl.json
MEM 0.683594 1652118023.4571
MEM 127.882812 1652118024.4587
MEM 1100.324219 1652118025.4602
MEM 1111.949219 1652118026.4616
MEM 1111.949219 1652118027.4631
MEM 1141.593750 1652118028.4646
MEM 1375.628906 1652118029.4658
MEM 1167.507812 1652118030.4674
MEM 1391.902344 1652118031.4690
MEM 1376.515625 1652118032.4703
MEM 1336.542969 1652118033.4716
MEM 1324.988281 1652118034.4729
MEM 1291.445312 1652118035.4742
MEM 0.000000 1652118036.4758
CMDLINE /usr/bin/python3 hierarchical_EM.py configs/em/config1cl.json
MEM 0.691406 1652118071.6778
MEM 234.886719 1652118072.7227
MEM 1096.554688 1652118073.7687
MEM 1096.796875 1652118074.8124
MEM 1096.796875 1652118075.8584
MEM 1153.921875 1652118076.9051
MEM 1251.976562 1652118077.9500
MEM 1241.667969 1652118078.9939
MEM 1147.777344 1652118080.0396
MEM 1147.972656 1652118081.0839
MEM 1148.425781 1652118082.1301
